address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type)
"3, Nandidurga Road, Benson Town, Frazer Town, Bangalore",Tayabbs,Yes,No,3.0/5,10,+91 7829711234,Frazer Town,Quick Bites,,"Rolls, North Indian, Fast Food",500,Delivery
"125, M.M Road, Near Frontline Polyclinic, Frazer Town, Bangalore",Atty's Bakery,Yes,No,4.0/5,73,080 41690101,Frazer Town,Bakery,"Gooey Brownie, Brownie Chocolate, Chocolate Ganache, Garlic Bread, Salted Caramel Brownie, Plum Cake, Chocolate Cake",Bakery,250,
 ('Rated 5.0', 'RATED\n  Very nice setup, with all the works and modern technology in baking. The chocolate croissants and puffs are my personal favourites, they also have variety of breads and pastries to choose from.'), ('Rated 5.0', 'RATED\n  To be honest, the best bread place in town. International quality and ingredients. The pastries have a distinct taste and great presentation. Try it out!!'), ('Rated 5.0'," """"RATED\n  I'm a big chocolate fan", and tried the chocolate brownie and chocolate chip cookies from here, they were to die for :) \nAlso, ask for the Atty's Signature, 'RATED\n  Awesome presentation and a new revolutionary for bakery products & technology . Taste is amazing .\nFriendly staff . A must visit place for people who love bakery products')
"112, MM Road, Frazer Town, Bangalore",Vijayalakshmi Veg,Yes,No,3.9/5,30,+91 8971602018,Frazer Town,Quick Bites,,South Indian,200,Delivery
"8th Main, 13th Cross, Wilson Garden, Bangalore",Sahana's (Nati Style),Yes,No,3.7/5,47,"+91 8088999991
080 22244699",Wilson Garden,Quick Bites,,North Indian,350,Delivery
"17/3, Ground Floor, Cambridge Road, Opposite FAPS, Ulsoor, Bangalore",The Cake House,Yes,No,3.7/5,29,080 25309715,Ulsoor,Bakery,,"Bakery, Desserts",300,Delivery
"21/1, Behind The Hindu, Cunningham Road, Bangalore",Eden Park,Yes,Yes,4.1/5,612,"+91 9900179918
+91 9686477622",Cunningham Road,Casual Dining,"Pasta, Bamboo Biryani, Noodles, Chicken Guntur, Andhra Meal, Andhra Style Biryani, Babycorn Manchurian","Andhra, Biryani, Chinese, North Indian, Seafood, South Indian","1,100",Delivery
"2nd Stage, Indiranagar, Bangalore",YumYumDilli,Yes,No,3.6/5,51,"080 49595676
+91 9986507832",Indiranagar,Delivery,,North Indian,500,Delivery
"157, St. Patricks Complex, Brigade Road, Bangalore",Kanti Sweets,Yes,No,3.9/5,100,"080 22960603
080 41127968",Brigade Road,"Sweet Shop, Quick Bites","Chaat, Sandwiches, Rasmalai","Mithai, Street Food",400,Delivery
"82, MM Road, Frazer Town, Bangalore",Rahhams,Yes,No,3.9/5,847,"080 25486696
080 25484590",Frazer Town,Casual Dining,"Mutton Biryani, Shawarma, Bheja Fry, Pahari Chicken, Mutton Chops, Butter Chicken, Butter Naan","Mughlai, North Indian, Chinese",700,Delivery
"Shop 1, 1st Main Road, Appaiah Garden, Jogupalaya, Near Ulsoor, Bangalore",Popat Juice Junction,Yes,No,,0,+91 8813922355,Ulsoor,Beverage Shop,,"Beverages, Juices",200,Delivery
"22, Ulsoor Road, (ground floor of Sunrise Chambers), Bangalore",Marzipan Cafe & Bakery,Yes,No,4.2/5,432,"+91 9844422724
+91 9902069665",Ulsoor,"Cafe, Bakery","Coffee, Cheesecake, Chicken Baguette, Pasta, Mudcake, Wedges, Hot Chocolate","Cafe, Mediterranean, Bakery, Greek, Beverages",700,Delivery
"4, Stephen's Crossroads, Frazer Town, Bangalore",Bozo's Yum Yums,Yes,No,4.0/5,90,+91 9632547335,Frazer Town,"Takeaway, Delivery","Burgers, Beef Burger, Sandwiches, Fries, Bacon Burger","Fast Food, Burger, American",650,
 that was a bit disappointing. Taste was not bad," however some chips or frys on the side would have been nice. The crepe nutella was nice."""")", ('Rated 5.0', 'RATED\n  Mouth watering lip smacking delicious food home cooked with perfection....\nAlmost close to a decade dining at BOZOS...been wanting to write a review in a while... FINALLY...\nA MUST try thou. .. Chilly cheese omlet, pepper chilly roasted pork, chilly beef, juicy beef burger, scrumptous sandwiches... Jus to name a few from the vast array of dishes that I have personally cherished...!\nBOZOS YUM YUMS... D name says it all :)\na definite +5!'), ('Rated 5.0'," """"RATED\n  Amazing Food! Reminds me of old school burger joints from when i was growing up. The best part is the inclusion of Bacon and Pork dishes. For me and my wife", our personal favorites is the double beef and bacon burger as well as the Pork Bacon Double Cheese Sandwich. So far i haven't really tried the other dishes because we just couldn't get enough of these two delicacies but i'm sure going to try them all eventually :)\nAnd they deliver past midnight," which is the best part.\nThank you Naveen and Team for the delicious food and consistency in quality. God bless you guys! Cheers!"""")", nutella crepes and lot more.....I highly recommend this place for your late night cravings
"34/1-2, Meanee Avenue Tank Road, Sivanchetty Road, Ulsoor, Bangalore",Skoolroom,Yes,No,4.3/5,570,+91 9743538476,Ulsoor,Cafe,"Chocolate Overload, Burgers, Pasta, Peri Peri Chicken Pizza, Peri Peri Chicken Burger, Momos, Freak Shake","Cafe, Continental, Italian, Burger, Beverages",700,Delivery
"4th Floor, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",Pind Balluchi,Yes,Yes,4.0/5,1021,"080 41153761
+91 8904133378",Brigade Road,Casual Dining,"Palak Paneer, Mango Lassi, Panner Tikka, Veg Platter, Dal Makhani, Chicken Rara, Malai Tikka","North Indian, Mughlai",700,Delivery
"88/1, Opposite to Reliance Fresh, Coles Road, Frazer Town, Bangalore",Cream Chemistry,Yes,No,3.9/5,148,+91 9916025496,Frazer Town,Dessert Parlor,"Rolls, Ice Cream Roll","Ice Cream, Desserts",500,Delivery
"Trinity Metro Station, MG Road, Bangalore",The Brekkie Shop,Yes,No,3.5/5,64,+91 8880621621,MG Road,Takeaway,"Pasta, Fruit Parfait","Healthy Food, Sandwich",300,Delivery
"Stall 2, Q Court, Garuda Mall, 3rd Floor, Magrat Road, Brigade Road, Bangalore",Maravanthe,Yes,No,3.5/5,12,"+91 9880754891
+91 9986071922",Brigade Road,Casual Dining,,"Mangalorean, Seafood",650,Delivery
"Brigade Gateway, 26/1 DR. Rajkumar Road, Malleshwaram, Bangalore",House Of Candy,Yes,No,,0,,Malleshwaram,Confectionery,,Desserts,200,Delivery
"G1 Smart Avenue, 28, Residency Road, Bangalore",WAFL CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â©,Yes,No,4.0/5,85,+91 9740780105,Residency Road,"Dessert Parlor, Quick Bites","Waffles, Pie, Corn Dog","Cafe, Fast Food, Desserts, Beverages",400,Delivery
"Ground Floor, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",Haldiram's Express,Yes,No,3.6/5,44,080 41572221,Brigade Road,Kiosk,,North Indian,300,Delivery
"123, Brigade Road, Bangalore",Hotel Ramprasad,Yes,No,4.2/5,93,+91 9886723465,Brigade Road,Quick Bites,"Filter Coffee, Kesari Bath, Curd Rice, Idli Vada, Crispy Masala Dosa, Masala Tea, Thick Coconut Chutney","South Indian, Chinese",300,Delivery
"2, 6/1, 5th Main Road, Andra Colony, Vannarpet Layout, Vivek Nagar, Richmond Road, Bangalore",The Chef's Cake & Bakes,Yes,No,NEW,0,+91 9901035778,Richmond Road,Dessert Parlor,,Desserts,800,Delivery
"14, St. Marks Road, Bangalore",Anna Kuteera,Yes,No,3.8/5,62,+91 8095011126,St. Marks Road,Casual Dining,"Panner Tikka, Coffee, Vada, Idli","South Indian, North Indian, Chinese",400,Delivery
"21, KK St, Someshwarpura, Ulsoor, Bangalore",Indian Spice Food,Yes,No,3.6/5,15,+91 8792163799,Ulsoor,Quick Bites,,"North Indian, Chinese",300,Delivery
"2, Ulsoor Road, Yellappa Chetty Layout, Ulsoor, Bangalore",Wangs Kitchen,Yes,No,2.5/5,22,"080 42117884
+91 7846848837",Ulsoor,Casual Dining,,Chinese,"1,000",Delivery
"3217, 13th Cross, Indiranagar, Bangalore",Lassi Shop,Yes,No,3.8/5,83,+91 9739559814,Indiranagar,"Dessert Parlor, Beverage Shop","Lassi, Faluda","Beverages, Juices, Ice Cream",100,Delivery
"12th Main, HAL 2nd Stage, ESI To Domlur, Service Road, Indiranagar, Bangalore",Kitchen of Joy,Yes,No,4.1/5,569,+91 9900962765,Indiranagar,Quick Bites,"Rolls, Egg Roll, Chai, Ginger Tea, Biryani, Rasgulla, Luchi","Fast Food, Bengali, Rolls",400,Delivery
"54, Bassappa Road, Corporation Bank Cross, Shanti Nagar, Bangalore",Desi Vdesi,Yes,No,3.9/5,113,"+91 8867762986
+91 9880733916",Shanti Nagar,Quick Bites,"Rolls, Burgers, Sandwiches, Nachos, Sweet Lassi, Fries, Methi Paratha","Fast Food, North Indian, Rolls",250,Delivery
"Opposite Jama Masjid, Jama Masjid Road, Commercial Street, Bangalore",Haji Ali Juice Centre,Yes,No,4.0/5,78,"+91 8041531414
+91 7996911585",Commercial Street,"Quick Bites, Beverage Shop","Sandwiches, Rose Faluda, Pizza, Custard Apple Cream, Pav Bhaji","Fast Food, Pizza, Rolls, Beverages, Juices",350,Delivery
"Trinity Metro Station, Namma Metro, MG Road, Bangalore",Domino's Pizza,Yes,No,3.9/5,117,"080 25329010
18602100000",MG Road,Quick Bites,"Pizza, Garlic Bread","Pizza, Fast Food",800,Delivery
"12th Main Road Junction, Double Road, Indiranagar, Bangalore",Mama Mia!,Yes,No,4.3/5,422,"+91 7892084813
+91 9886091914",Indiranagar,"Dessert Parlor, Cafe","Gelato, Strawberry Sundae, Hot Chocolate, Brownie, Wedges, Peri Peri Fries, Thick Shakes","Desserts, Cafe",400,Delivery
"75, Jansons Building, Next to Westside, Commercial Street, Bangalore",Shaadi Ki Biryani,Yes,No,2.8/5,296,080 65650707,Commercial Street,Casual Dining,"Mutton Biryani, Brinjal Curry, Chicken Biryani, Kheer, Hyderabadi Biryani, Raita, Kebab Platter",Biryani,600,Delivery
"H-14, 1st Main, 80 Feet Road, KR Garden, Koramangala 8th Block, Bangalore",Taste of Nepal,Yes,No,3.5/5,22,"+91 7996893079
+91 9632887162",Koramangala 8th Block,Quick Bites,,"Nepalese, Momos, Chinese",350,Delivery
"2nd Floor, UB City Mall, Vittal Mallya Road, Lavelle Road, Bangalore",Shiro,Yes,Yes,4.4/5,2229,"+91 8041738864
+91 8041738861",Lavelle Road,"Fine Dining, Lounge","Sushi, Dumplings, Sea Food, Chocolate Volcano, Lamb, Sunday Brunch, Chicken Yakitori","Japanese, Asian","3,000",
" we were not too happy with the music the last Friday we went there. Maybe we expected more. All in all a great place to go to..we just hope the music is better the next time we go there."""")", ('Rated 4.0', 'RATED\n  It was a good experience at Shiro, we were suggested to sit outside lounge, as Indoor seating was completely empty. Must say great ambience. Good food preparation almost on time it was dark theme maintained so I missed to click my dinner. service I felt can be improve was not bad but delay and lack of observation. We enjoyed our weekday dining. Thank you and keep up the good work.'), ('Rated 4.0', 'RATED\n  Food-4.5\nAmbience-4.5\nService-4\nQuality & taste-4.5\n\nOverall great food, 4 to service is because they forgot to serve me the dessert for my combination menu, but a place to be if u really want to treat urself and others with u for a great Asian food ??'), ('Rated 4.0', 'RATED\n  Shiro\nAuthentic Japanese restaurant.\nIf you love sushi?s then shiro is the place you need to visit.\nMy personal favourites are sushi and dumplings. All the dishes are perfect with their taste and presentation.\nThis place has some classy ambience and classy crowd.'), ('Rated 4.0'," """"RATED\n  I'd been to Shiro's a number of times"
"299, B.T..S. Main Road, 14th Cross, Wilson Garden, Bangalore",Five Star Chicken,Yes,No,3.5/5,11,"+91 8660142161
+91 8919920448",Wilson Garden,Quick Bites,,"Fast Food, Burger",200,Delivery
"Ground Floor, 5th Avenue Mall, Brigade Road, Bangalore",Thai House,Yes,No,4.2/5,127,"080 48544470
+91 9900153850",Brigade Road,Casual Dining,"Tom Yum Soup, Fish, Salad",Thai,700,Delivery
"4, St Mary's Building, 2nd Stage, Indiranagar, Bangalore",InnerChef,Yes,No,3.7/5,270,"080 49595676
+91 9986507832",Indiranagar,Delivery,"Salads, Pasta, Dal Makhani, Paratha, Chole, Red Velvet Cake, Butter Chicken","North Indian, Continental",500,Delivery
"273, 12th Cross, Opposite BTS Bus Stop, Wilson Garden, Bangalore",Karavali Kolimane,Yes,No,3.7/5,28,"+91 9035621740
+91 9448017516",Wilson Garden,Quick Bites,,"Mangalorean, Chinese, North Indian",350,Delivery
"Q Court, The Food Court, 3rd Floor, Garuda Mall, 15, Margath Road, Craig Park Layout, Brigade Road, Bangalore",Roll Er Dokaan,Yes,No,3.3/5,18,+91 9900330368,Brigade Road,Quick Bites,,"Street Food, Rolls",300,Delivery
"KH Marigowda Road, Near Hopcoms Complex, Shanti Nagar, Bangalore",Durga Sagar,Yes,No,3.3/5,8,00 919986218630,Shanti Nagar,Quick Bites,,South Indian,150,Delivery
"166/A 2nd Floor, R.V Road, Above DTDC Office, V.V Puram, Near Minerva Circle, Basavanagudi, Bangalore",Steaming Mugs,Yes,No,3.9/5,241,"+91 9341234538
+91 9886414790",Basavanagudi,Cafe,"Fries, Oreo Shake, Pasta Arrabiata",Cafe,700,Delivery
"Ground Floor, Sky Walk Building, Assaye Road, Ulsoor, Bangalore",NH7 Refuel,Yes,No,3.5/5,17,+91 9945590505,Ulsoor,Quick Bites,,"North Indian, Chinese, Biryani",400,Delivery
"Shop 9, St Patricks Complex, Shanthala Nagar, Ashok Nagar, Brigade Road, Bangalore",Royanna Military Canteen,Yes,No,NEW,0,+91 7483615161,Brigade Road,Quick Bites,,"South Indian, Biryani",200,Delivery
"46/1, Cobalt Building, Church Street, Bangalore",Church Street Social,Yes,No,4.3/5,7544,"+91 9152017971
+91 8041713016",Church Street,Lounge,"Paneer Biryani, Cocktails, Mocktails, Nachos, Taco Soup, Pork Ribs, Hot Dog","American, North Indian, Chinese, Finger Food, Momos","1,500",Delivery
"Food Court, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",Mad Over Donuts,Yes,No,3.9/5,148,"+91 8033166397
+91 8067266398",Brigade Road,Food Court,Donut,"Bakery, Desserts, Beverages",450,Delivery
"Number 55, MM Road, Opposite Post Office, Frazer Town, Bangalore",Sheesh Kebab,Yes,No,4.1/5,68,080 25802222,Frazer Town,Casual Dining,"Naan, Mutton Kebab, Memon Mutton Biryani, Mutton Keema",North Indian,700,Delivery
"Skywalk, Lower Ground Floor, Assaye Road, Ulsoor, Bangalore",Just Shawarma,Yes,No,3.8/5,110,+91 7676764422,Ulsoor,Quick Bites,"Rolls, Whole Meat Shawarma",Arabian,300,Delivery
"39/7, 5th Cross, 6th Main, Appareddy Palya, Indiranagar, Bangalore",Bangaliana,Yes,No,3.7/5,11,+91 7385346775,Indiranagar,Quick Bites,,Bengali,500,Delivery
"949, 12th Main Rd, Appareddipalya, Indiranagar, Bengaluru, Karnataka",The Belgian Waffle Co.,Yes,No,4.0/5,71,080 43755127,Indiranagar,Dessert Parlor,"Waffles, Pancakes",Desserts,400,Delivery
"598, 1st Floor, 1st Cross, 1st A Main Road, Domlur Layout, 1st Stage, Domlur, Bangalore",Slurpy Shakes,Yes,No,,0,+91 8197170008,Domlur,"Takeaway, Delivery",,Beverages,300,Delivery
"15, 3rd Floor, Garuda Mall, Magrath Road, Craig Park Layout, Ashok Nagar, Bangalore",Taco Bell,Yes,No,3.8/5,30,+91 8448290774,Brigade Road,Quick Bites,,"Mexican, American, Fast Food",600,Delivery
"46, 8th Main, Vasanth Nagar, Bangalore",Bangalore Masala House,Yes,No,4.2/5,255,"+91 9880118608
080 48666224",Vasanth Nagar,Cafe,"Peri Peri Chicken, Shikanji, Peri Peri Pizza, Burgers, Steak, Bun Maskas, Pasta","Cafe, Continental, Fast Food",500,Delivery
"Skywalk, 5/1, Near Body Craft, Assaye Road, Ulsoor, Bangalore",Classic Lassi Shop,Yes,No,3.5/5,43,"+91 8792958786
+91 8073579529",Ulsoor,Beverage Shop,,"Beverages, Ice Cream",150,Delivery
"493, 13th Cross, 2nd Stage, Behind BDA Complex, Indiranagar, Bangalore",Fruit Face,Yes,No,3.6/5,21,+91 9972222917,Indiranagar,"Quick Bites, Beverage Shop",,"Fast Food, Street Food, Beverages",300,Delivery
"785, 2nd B Main, Bhuvaneshwari Road, Koramangala 8th Block, Bangalore",Sweet Truth,Yes,No,4.2/5,50,+91 7710055553,Koramangala 8th Block,Delivery,"Cheesecake, Chocolate Fantasy, Chocolate Cake, Chocolate Decadence, Brownie, Red Velvet, Chocolava Cake","Bakery, Desserts",500,Delivery
"15, Convent Road, Off Residency Road, Residency Road, Bangalore",Green Theory,Yes,Yes,4.2/5,2840,"+91 8861435956
080 41663836",Residency Road,"Casual Dining, Cafe","Potato Skins, Pizza, Mushroom Soup, Pasta, Banana Smoothie, Almond Soup, Kiwi Lemonade","Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza",800,
 ('Rated 2.0', 'RATED\n  As everyone knows , this is a vegetarian place. Was forced here by a vegan friend who wanted me to be vegetarian ?for a change? ....well dint work! Extremely cafe style place with lots of mosquitoes- they were kind to offer a repellent to no avail !! I ordered the paneer sizzler I dint fancy it at all. Tried washing it down with a brownie shake which was watery as hell. 2 points only for the staff very courteous. Unfortunately this place isn?t for me.'), ('Rated 4.0', 'RATED\n  Beautiful ambience, great good and great location( being in the heart of the city) pretty much sums it up. The menu is quite robust for a all vegetarian place and have a beautiful way to bring out the great flavour to want more. The low seating area kind of gives it a homely feel to the restaurant.\nAmbience is great for high tea or an early supper and follow through with a conversation.\nUsually it gets busy during the weekends but walking in without a reservation on the weekday is fine. One can expect to shell out about INR 1000 for two over a meal.\nDo try their Herb soup, Broccoli and peanut stir fried salad and garlic bread.'), ('Rated 1.0', 'RATED\n  Green Theory is quite a popular name for vegetarian food in the city. One Sunday evening, we decided to try the place. Though it looked beautiful with lush greenery, the mosquitoes were a big irritation. To top that the use of coils was annoying. We ordered for a green theory sampler & Thai papaya salad along with Watermelon basil cooler & Darjeeling silver white tea. Not a single dish stood out. The platter was really bad. It consisted of corn potato cigars,broccoli rolls,paneer satay. Below average stuff. Thai papays salad was better but still very ordinary both in taste & looks. Drinks were the worst of the lot. Tea had no flavours at all. The less I speak abt the cooler the better. Pricing is also not really reasonable but then they have Zomato Gold. A very below par experience.')
"68, Appareddy Palya, Near ESI Hospital, HAL 2nd Stage, Double Road, Indiranagar, Bangalore",Srinidhi Sagar Food Line,Yes,No,3.7/5,129,080 25250408,Indiranagar,Quick Bites,"Vada, Masala Dosa, Filter Coffee","South Indian, North Indian, Chinese",40,Delivery
"15, Palace Cross Road, Vasanth Nagar, Bangalore",Jars,Yes,No,3.8/5,28,"080 43705117
+91 9740945611",Vasanth Nagar,Delivery,,"Healthy Food, Beverages",650,Delivery
"No 6, Wood Street (Off Brigade Road), Ashok Nagar, Bangalore",Pabrai's Fresh & Naturelle Icecreams,Yes,No,4.2/5,131,+91 9535006187,Brigade Road,Dessert Parlor,"Apple Pie, Mascarpone Cheese, Nolen Gurer Ice Cream, Paan Ice Cream, Nolen Gur, Gur Ice Cream, Salted Caramel","Ice Cream, Desserts",180,Delivery
"844, Binnamangala, 1st Stage, Near B.D.A Complex, Double Road, Indiranagar, Bangalore",Ibaco,Yes,No,4.0/5,289,+91 9686388388,Indiranagar,Dessert Parlor,"Icecream Cake, Almond Crunch, Cream Cake, Belgian Chocoholic",Desserts,300,Delivery
"4/5, 5th Cross, Laxmi Road, Shanti Nagar, Bangalore",Sreeraj Lassi Bar,Yes,No,3.9/5,61,+91 7022356498,Shanti Nagar,Beverage Shop,"Fruit Lassi, Sweet Lassi, Kulfi, Banana Split","Beverages, Desserts",150,Delivery
"58, Mallappa Reddy Layout, Oyo Balaji Guest House, Koramangala 8th Block, Bangalore",Hungerbreak 24x7,Yes,No,3.1/5,7,+91 9739008130,Koramangala 8th Block,Delivery,,"North Indian, South Indian, Maharashtrian",500,Delivery
"29, Ground Floor, Whitehouse, Opposite SBI Bank, St. Marks Road, Bangalore",The Egg Factory,Yes,No,4.2/5,1764,080 42110041,St. Marks Road,Casual Dining,"Omelette, French Toast, Bun Masala, Pasta, Egg Pav Bhaji, Fajitas, Paneer Wrap","Continental, American",750,Delivery
"10, Bishop Cotton Complex, Next to Bangalore Club, Residency Road, Bangalore",Firewood Biryani,Yes,No,3.9/5,454,"080 41253811
+91 7022114555",Residency Road,Quick Bites,"Hariyali Chicken, Rice Kheer, Chicken Kebab, Chicken Biryani, Firewood Biryani, Mutton Biryani, Badam Phirni","Biryani, Kebab, Rolls",400,Delivery
"Prestige Center Point, Beside Pizza Hut, Cunningham Road, Bangalore",Sweet Chariot,Yes,No,3.8/5,111,"080 41148215
080 41148216",Cunningham Road,Dessert Parlor,"Chicken Lasagne, Chocolate Cake, Mushroom Quiche, Sandwiches, Pizza, Steak","Bakery, Fast Food",500,
 spaghetti bolognaise, club sandwich and a portion of garlic bread. Everything well cooked and freshly made. We ended our meal with a perfect dessert chocolate souffle, which was simply superb. Thumbs up to this place and will always remain one of my favorites.'), ('Rated 3.5', 'RATED\n  Have ordered from here so many times in college for almost everyone?s birthdays. We stick to sweet chariot because it is a safe and best option. We always pick one of the chocolate pastries they have or the blackforest.'), ('Rated 3.5', 'RATED\n  One of the spacious sweet chariot outlets with good variety of eatery on display. The chocolate pastries are always yum! The quiche are very tasty and fresh.'), ('Rated 3.5', 'RATED\n  The place serves the same taste as other the other sweet chariot. The main thing about this place is the ambiance and maintenance. A good place to have a perfect brunch or and evening snack time. The place serves mouthwatering pastries and cakes for the appetite.\n\nAmbiance 3.5/5\nFood 4/5\nService 3.5/5\nPrice 3.5/5'), ('Rated 1.0', 'RATED\n  Had been to this place many times,their pastries are subpar.Quite frankly it\'s been around here for a long time! and I must the quality is deteriorating every single day.Yes,"your next stop will be the hospital...try out the CCD just down the lane at least the crap which they serve atleast looks like what its supposed to....I find it amusing it has such high rating on zomato...""""the stench sure was nauseating """"...')"
"3rd Cross, 2nd Stage, Domlur, Bangalore",Venus Biryani,Yes,No,3.0/5,144,"+91 9060123292
+91 9880349295",Domlur,Quick Bites,Dum Biryani,"Biryani, Chinese",200,Delivery
"18/3, Ali Askar Road, Near Kingfisher Airlines Office, Cunningham Road, Bangalore",Dolci Desserts,Yes,No,4.3/5,652,080 40977132,Cunningham Road,"Cafe, Dessert Parlor","Cappuccino, Eclair, Pizza, Coffee, Blueberry Cheesecake, Oreo Cheesecake, Tiramisu","Cafe, Desserts",750,Delivery
"7, Shivananda General Stores Complex, Harekrishna Road, Kumara Krupa Road, Seshadripuram, Bangalore",Sangam Sweets,Yes,No,3.1/5,26,080 41518798,Seshadripuram,Sweet Shop,,"Mithai, Street Food",200,Delivery
"31, Ground Floor, Ulsoor Road, Near HDFC Bank, Ulsoor, Bangalore",Container Coffee,Yes,No,,0,+91 9980937325,Ulsoor,Quick Bites,,South Indian,200,Delivery
"322, Shalini Complex, CMH Road, Indiranagar, Bangalore",Kartik's Mithai Shoppe,Yes,No,4.1/5,110,080 41264166,Indiranagar,"Quick Bites, Sweet Shop","Chaat, Panipuri, Chole Bhature, Rasmalai, Chhole Bhature, Sev Puri, Samosa","Mithai, Street Food",150,Delivery
"120, 4th Floor, Lancer Building, Brigade Road, Bangalore",Desi Deck,Yes,Yes,3.9/5,96,+91 9962403374,Brigade Road,"Casual Dining, Bar","Balti Gosht, Cocktails, Dal Makhani","Mughlai, North Indian, Desserts","1,300",Delivery
"Ground Floor, Figure and Fitness Gym, ESI Hospital Road, Double Road, Stage 3, Indiranagar, Bangalore",UBCR,Yes,No,3.3/5,5,+91 9677247238,Indiranagar,"Cafe, Quick Bites",,"Italian, American, Chinese, Arabian, North Indian, Cafe",350,Delivery
"14, 3rd Floor, Church Street, Bangalore",Hoppipola,Yes,No,4.3/5,1703,+91 9620216162,Church Street,Lounge,"Masala Peanuts, Cocktails, Paratha, Pizza, Pasta, Burgers, Brownie","Continental, Mediterranean, European","1,300",
 the bookshelves and the dollhouses.\nWith good food and alcohol, the place has got it all! :)\n\nWe ordered Margarita pizza, truffle fries and BBQ chicken burger. The pizza wasn't all that great but the fries and the burger were amazing. They were both exploding with flavors of spicy, crunchy and cheesy. The way they present the dishes is an added bonus.\n\nOh, did I mention," the table is actually a slate for the child in you to doodle away! :)"""")", ('Rated 4.0'," """"RATED\n  Hopipola is a place with good food and very average ambiance. The food and beverages here are moderately priced.\nFood : 4.4/5\nAmbiance : 3.2/5\nService : 4.0\nYou can go there just for the food. The food there's Wonderful."""")", ('Rated 4.0', 'RATED\n  Friday evening post work got us here. The place has a great vibe and is well ventilated and never gets too loud. We had food and drinks which were good. The service is prompt and the staff well behaved. There was live DJ and people were dancing to their hearts content. The place is quite airy and feels nice and comfortable to spend time here. Do give it a try!'), ('Rated 4.0'," """"RATED\n  What a pretty little decor the place has! Starting from the colorful ceiling with sprinklers that surprise you periodically", truffle fries and BBQ chicken burger. The pizza wasn't all that great but the fries and the burger were amazing. They were both exploding with flavors of spicy
"Rhenius Road, Opposite Hockey Stadium, Richmond Town, Bangalore",Hushy's Kitchen,Yes,No,3.5/5,58,"080 43007100
+91 9343361684",Shanti Nagar,Quick Bites,,Fast Food,300,Delivery
"136/4, 1st Floor, Lalbagh Road, Shanti Nagar, Next to Purnima Theatre, Bangalore",The Cake City,Yes,No,3.2/5,4,+91 8197981979,Shanti Nagar,"Quick Bites, Bakery",,"Chinese, Continental, Desserts, Bakery",300,Delivery
"Yellappa Chetty Layout, Sivanchetti Gardens, Ulsoor, Bangalore",Hatti Kaapi,Yes,No,3.8/5,30,080 25585544,Ulsoor,Quick Bites,,"South Indian, Beverages",200,Delivery
"8th Main, Vasanth Nagar, Bangalore",Mount View Fast Food,Yes,No,3.3/5,4,+91 9972873195,Vasanth Nagar,Takeaway,,"Fast Food, Street Food",100,Delivery
"50, MM Road, Frazer Town, Bangalore",Chichaba's Taj,Yes,No,3.9/5,442,"080 41618888
+91 9740122667",Frazer Town,Casual Dining,"Mutton Biryani, Paya Soup, Bheja Masala, Phirni, Brain Fry, Chicken Kebab, Chicken Grill","Biryani, North Indian, Mughlai",600,Delivery
"16/3, Phoenix Arcade, Ground Floor, Shanthala Nagar, Ashok Nagar, Church Street, Bangalore",99 Pancakes,Yes,No,4.1/5,41,+91 7483655827,Church Street,Dessert Parlor,Nutella Pancakes,"Desserts, Ice Cream",150,Delivery
"11/2 Ground Floor, Sigma Trident, Off Richmond Road, Richmond Road, Bangalore",Beijing Bites,Yes,No,3.8/5,262,"080 41246933
080 40915505",Richmond Road,Casual Dining,"Manchurian, Noodles, Basil Chicken, Chop Suey, Triple Schezwan, Dragon Chicken, Schezwan Rice","Chinese, Thai",850,Delivery
"22, Opposite SBI Bank, St. Marks Road, Bangalore",Kabab Korner,Yes,No,3.9/5,205,"080 22215476
080 22215576",St. Marks Road,Casual Dining,"Rolls, Biryani, Chilli Chicken, Seekh Kebab, Rumali Roti, Burgers, Butter Naan","North Indian, Chinese, Fast Food",500,Delivery
"13/1, Padmlaya, Buddh Vihar Road, Cox Town Frazer Town, Bengaluru",Oh My Chaat,Yes,No,3.1/5,18,"+91 9902076007
+91 9611130403",Frazer Town,Quick Bites,,Street Food,300,Delivery
"4, 39/1, St Mary's Building, 2nd Stage, Indiranagar, Bangalore",YumYumSouth,Yes,No,3.5/5,38,"080 49595676
+91 9986507832",Indiranagar,Delivery,,South Indian,600,Delivery
"Level 4, Trinity Circle, MG Road, Bangalore",Foodhall,Yes,No,4.0/5,113,"+91 9632805046
+91 8880879265",MG Road,Casual Dining,"Pasta, Salads, Sandwich, Coffee, Tea, Sandwiches","Italian, Bakery, Fast Food","1,000",Delivery
